event-id,visible,timestamp,location-long,location-lat,manually-marked-outlier,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
16309958,true,2002-06-06 23:17:00.000,8.60388058438925,47.5202507720493,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309957,true,2002-06-06 23:31:00.000,8.62344095568287,47.5467306273105,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309956,true,2002-06-06 23:36:00.000,8.62524932548153,47.5470538761119,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309955,true,2002-06-06 23:40:00.000,8.62787524719054,47.5477682153372,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309954,true,2002-06-06 23:45:00.000,8.6242608359922,47.5563128772026,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309953,true,2002-06-08 02:30:00.000,8.64002103668193,47.5416407017178,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309952,true,2002-06-08 02:39:00.000,8.62480626893523,47.5512037850321,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309951,true,2002-06-08 02:51:00.000,8.62673841519967,47.5492356739993,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309950,true,2002-06-08 21:54:00.000,8.62378129608791,47.5913267514617,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309949,true,2002-06-08 21:59:00.000,8.59456237476506,47.5713577872792,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309873,true,2002-06-08 22:14:00.000,8.55763580662572,47.5962645080998,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309948,true,2002-06-08 22:31:00.000,8.58580857539089,47.573027346937,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309947,true,2002-06-08 22:39:00.000,8.60077053675413,47.5677811814025,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309946,true,2002-06-08 22:46:00.000,8.56880915713785,47.6044926534202,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309945,true,2002-06-08 22:54:00.000,8.60395384738046,47.5906217993898,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309944,true,2002-06-08 23:02:00.000,8.6076382638065,47.5865055394773,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309943,true,2002-06-08 23:10:00.000,8.62969636947695,47.5833581963488,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309942,true,2002-06-08 23:18:00.000,8.5832565910266,47.5777343728396,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309941,true,2002-06-08 23:27:00.000,8.62825447847885,47.545716326906,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309940,true,2002-06-08 23:50:00.000,8.62388304209015,47.5598507449142,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309939,true,2002-06-09 00:00:00.000,8.62697820674224,47.5477250618189,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
